IFM,Union,Division,Industry,Day_Porter,Custodial,Cleanroom,GMP,Lab,MAC,Maintenance,Landscaping,Recycle,Other,Service_Days,Service_Model,SOW_Type,Trash_Freq,Vacuum_Freq,Restroom_Freq,SOW_Intensity_Range,Account_Size,Total_Supervision_Ratio,Labor_Cost_Score,CSAT,Turnover,Floor_Tech_FTE,CSR_FTE,Lead_FTE,Salary_EE_Count,Hourly_Burden,Mgmt_Burden,Total_Burden,Mobile,Price
5,0,13,2,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,3,7,3,4,0,0,0,0,2,0.25,0.25,0.25,0,0.113
5,0,1,12,1,1,1,0,0,1,1,0,0,0,5,0,0,0,0,0,0,3,7,4,4.63,0.282,0,0.8,0.9,1,0.35,0.38,0.36,0,0.22
1,0,13,6,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,6,3,4.5,1.062,1.4,4.8,2.4,1,0.2,0,0.2,0,0.191
5,0,7,2,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,6,3,5,0,2.2,3.2,0.9,2,0.15,0.15,0.15,0,0.188
4,0,7,7,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,20,2,4,0,1.5,8.1,0,1,0.13,0.13,0.13,0,0.217
1,1,5,2,1,1,0,0,0,0,1,0,0,1,5,1,2,4,2,2,2,3,5,7,3,0.075,2,1.6,1.2,1,0.51,0.5,0.51,0,0.226
3,1,7,10,1,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,3,99,8,4,0.1,3.1,1.7,0.1,0,0.88,0,0.88,0,0.162
4,0,7,1,1,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,3,4,3,4,0.772,1.1,4.2,2.3,1,0.32,0.32,0.32,0,0.112
1,0,10,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0.52,0,0.52,0,0.13
4,0,13,7,1,1,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,3,12,2,4,0,0.2,7.8,0.2,2,0.11,0.06,0.1,0,0.129
5,1,5,2,1,1,0,0,0,0,1,0,0,0,5,3,2,4,2,2,2,3,5,6,4,0.094,0,1.8,0.9,1,0.64,0.63,0.63,0,0.204
1,1,16,1,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,6,4,0,0,5.4,0,0,0.46,0.45,0.46,0,0.154
1,1,16,1,1,1,0,0,0,0,0,0,0,0,5,1,2,4,5,6,0,3,9,8,4,0.184,0,8.4,1,0,0.73,0,0.73,0,0.244
5,0,13,10,1,1,0,0,0,0,0,0,0,0,5,1,1,4,5,2,2,3,2,2,3.5,0.661,0,0.5,7.2,1,0.24,0.26,0.24,0,0.122
3,0,5,10,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,3,14,2,5,0.291,1,8.6,0,1,0.23,0.23,0.23,0,0.125
4,0,6,2,0,1,0,1,1,0,1,0,1,0,6,2,2,4,1,3,2,3,11,1,4.58,0.208,2,0,1,1,0.32,0.31,0.32,0,0.141
3,0,5,10,1,1,0,0,0,0,0,0,0,0,5,0,2,2,2,2,1,3,3,1,4.25,0.56,0,5.3,3.7,1,0.2,0.16,0.19,0,0.232
4,0,7,7,0,1,0,0,0,0,0,0,1,0,7,1,1,4,5,1,2,3,13,3,4.75,0.865,0,0,0,1,0.25,0.32,0.26,0,0.106
1,0,9,1,1,1,0,0,0,0,0,0,0,0,5,1,2,4,5,6,0,3,6,4,4.56,1.087,0,5.3,1.1,1,0.28,0.25,0.27,0,0.197
3,1,13,10,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,3,4,3,4.5,0.708,0.6,0,1,2,0.34,0.34,0.34,0,0.19
1,1,5,1,1,1,0,0,0,0,0,0,1,0,5,1,1,3,1,3,2,3,12,5,4,0.089,1.4,1.8,0,1,0.61,0.61,0.61,0,0.153
5,0,7,12,1,1,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,3,5,2,5,0.737,1.2,0,2,1,0.24,0.23,0.24,0,0.201
4,0,13,7,1,1,0,0,0,0,1,0,0,0,5,1,1,3,2,1,1,3,9,2,4.25,0.463,1.3,0,1.1,1,0.2,0.23,0.2,0,0.113
4,0,17,2,1,1,0,0,0,0,0,0,0,0,5,2,2,4,2,3,2,3,7,2,5,0.299,1.7,5.8,0.9,1,0.23,0.23,0.23,0,0.138
5,0,13,3,0,1,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,3,12,3,4.75,0.161,1.4,0,0,1,0.24,0.26,0.24,0,0.2
5,1,5,2,1,1,0,0,0,0,1,0,0,0,5,2,2,4,1,3,2,3,2,6,5,0.351,2.1,1.3,1,4,0.34,0.26,0.32,0,0.129
3,1,1,10,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,4,5,4,0.145,0.9,4.9,1.7,0,0.48,-0.68,0.4,0,0.159
